,x_pos_s1,y_pos_s1,z_pos_s1,x_pos_s2,y_pos_s2,z_pos_s2,x_pos_s3,y_pos_s3,z_pos_s3,x_pos_s4,y_pos_s4,z_pos_s4,x_pos_s5,y_pos_s5,z_pos_s5
0,1599168.38,212000.0,121000.0,276510.56,2032482.31,121000.0,-1863594.75,1337119.95,121000.0,-1863594.75,-913119.95,121000.0,276510.56,-1608482.31,121000.0
1,1598123.02,225178.26,121000.0,262963.27,2036511.48,121000.0,-1872304.04,1326431.84,121000.0,-1856812.06,-923754.72,121000.0,288029.82,-1604366.86,121000.0
2,1598111.33,226778.22,121000.0,261438.01,2036994.78,121000.0,-1873235.02,1325130.58,121000.0,-1855862.18,-925042.25,121000.0,289547.86,-1603861.34,121000.0
3,1598098.31,228378.17,121000.0,259912.34,2037476.81,121000.0,-1874164.91,1323828.54,121000.0,-1854911.22,-926328.98,121000.0,291065.47,-1603354.54,121000.0
4,1598083.95,228978.1,121000.0,258386.28,2036957.56,121000.0,-1875093.71,1321525.73,121000.0,-1853959.18,-928614.91,121000.0,292582.66,-1603846.48,121000.0
5,1598068.26,230578.03,121000.0,256859.81,2037437.03,121000.0,-1876021.43,1320222.14,121000.0,-1853006.07,-929900.05,121000.0,294099.43,-1603337.15,121000.0
6,1598051.23,232177.94,121000.0,255332.94,2037915.23,121000.0,-1876948.05,1318917.77,121000.0,-1852051.89,-931184.39,121000.0,295615.77,-1602826.55,121000.0
7,1598032.85,233777.83,121000.0,253805.67,2038392.16,121000.0,-1877873.58,1317612.63,121000.0,-1851096.63,-932467.94,121000.0,297131.68,-1602314.68,121000.0
8,1598013.15,235377.71,121000.0,252278.01,2038867.8,121000.0,-1878798.02,1316306.72,121000.0,-1850140.3,-933750.68,121000.0,298647.17,-1601801.55,121000.0
9,1597992.1,236977.57,121000.0,250749.95,2039342.17,121000.0,-1879721.37,1315000.03,121000.0,-1849182.9,-935032.63,121000.0,300162.22,-1601287.15,121000.0
10,1597969.72,238577.41,121000.0,249221.49,2039815.26,121000.0,-1880643.63,1313692.58,121000.0,-1848224.43,-936313.77,121000.0,301676.85,-1600771.48,121000.0
11,1597946.0,240177.24,121000.0,247692.64,2040287.08,121000.0,-1881564.79,1312384.35,121000.0,-1847264.89,-937594.11,121000.0,303191.04,-1600254.55,121000.0
12,1597920.94,241777.04,121000.0,246163.39,2040757.61,121000.0,-1882484.86,1311075.35,121000.0,-1846304.28,-938873.65,121000.0,304704.8,-1599736.35,121000.0
13,1597894.55,243376.82,121000.0,244633.75,2041226.87,121000.0,-1883403.83,1309765.59,121000.0,-1845342.59,-940152.39,121000.0,306218.13,-1599216.89,121000.0
14,1597866.82,244976.58,121000.0,243103.72,2041694.85,121000.0,-1884321.71,1308455.06,121000.0,-1844379.84,-941430.32,121000.0,307731.02,-1598696.16,121000.0
15,1597837.75,246576.32,121000.0,241573.3,2042161.55,121000.0,-1885238.5,1307143.76,121000.0,-1843416.03,-942707.45,121000.0,309243.48,-1598174.17,121000.0
16,1597807.34,248176.03,121000.0,240042.49,2042626.97,121000.0,-1886154.19,1305831.69,121000.0,-1842451.14,-943983.77,121000.0,310755.5,-1597650.92,121000.0
17,1597775.6,249775.72,121000.0,238511.29,2043091.11,121000.0,-1887068.78,1304518.86,121000.0,-1841485.19,-945259.29,121000.0,312267.08,-1597126.4,121000.0
