time,Rx,Ry,Rz,Vx(km/s)[J2000-EARTH],Vy(km/s)[J2000-EARTH],Vz(km/s)[J2000-EARTH],mmm,distance,R(km),volacity,B_n,Vx min/max,Vy min/max,Vz min/max,Vx min/max.1,Vx min/max.2,Vx min/max.3,MOON Rx(km)[J2000-EARTH],MOON Ry(km)[J2000-EARTH],MOON Rz(km)[J2000-EARTH]
0.0,3690.0,4220.0,3030.0,-0.308,0.269,0.0007,60129.73972,0.0,6372.236655994502,0.0,2918730.974844775,-383000.0,-135000.0,-69600.0,-404000.0,-324000.0,-173000.0,-315000.0,212000.0,121000.0
8.236480545,2320.0,4870.0,3700.0,-7.47,2.14,2.89,60129.73972,68.28464614989576,6541.353071039661,8.290512650011458,2769763.439129924,7100.0,9250.0,11600.0,-118000.0,212000.0,121000.0,-316000.0,212000.0,121000.0
9.236480545,1870.0,4980.0,3860.0,-7.65,1.72,2.57,60129.73972,76.57515879990723,6572.434860841148,8.290512650011458,2743628.332726712,,,,,,,-316000.0,212000.0,121000.0
10.23648055,1400.0,5070.0,4010.0,-7.79,1.31,2.24,60129.73972,84.82657084154337,6614.000302388865,8.251412000379087,2709252.22827665,,16447.87220281092,,,,,-316000.0,212000.0,121000.0
11.23648055,932.0,5140.0,4130.0,-7.88,0.888,1.91,60129.73972,93.03740514750766,6659.213467069516,8.210834305964285,2672587.830083918,,,,,,,-316000.0,211000.0,121000.0
12.23648055,457.0,5180.0,4240.0,-7.94,0.475,1.57,60129.73972,101.1940615703319,6709.608706921738,8.156656422824245,2632591.489088526,,,,,,,-316000.0,211000.0,121000.0
13.23648055,-20.0,5200.0,4320.0,-7.96,0.0692,1.24,60129.73972,109.3017199869156,6760.384604443744,8.10765841658367,2593194.262188784,,,,,,,-316000.0,211000.0,121000.0
14.23648055,-497.0,5190.0,4380.0,-7.94,-0.328,0.905,60129.73972,117.3580211630137,6809.369207202676,8.056301176098124,2556019.102211482,,,,,,,-316000.0,211000.0,121000.0
15.23648055,-972.0,5160.0,4430.0,-7.88,-0.715,0.575,60129.73972,125.3561590087875,6869.882386183915,7.998137845773853,2511188.167147416,,,,,,,-316000.0,211000.0,121000.0
16.23648055,-1440.0,5100.0,4450.0,-7.79,-1.09,0.25,60129.73972,133.2893960530211,6919.978323665472,7.933237044233583,2474961.183432397,,,,,,,-316000.0,211000.0,121000.0
17.23648055,-1910.0,5030.0,4460.0,-7.68,-1.45,-0.0673,60129.73972,141.1592562804966,6988.605011016147,7.869860227475454,2426592.603816547,,,,,,,-316000.0,211000.0,121000.0
18.23648055,-2360.0,4930.0,4450.0,-7.53,-1.79,-0.376,60129.73972,148.9752289832381,7048.191257336878,7.815972702741483,2385736.633169504,,,,,,,-316000.0,211000.0,121000.0
19.23648055,-2810.0,4810.0,4410.0,-7.35,-2.12,-0.676,60129.73972,156.7241886553489,7104.948979408648,7.748959672110831,2347772.075957595,,,,,,,-316000.0,211000.0,121000.0
20.23648055,-3240.0,4670.0,4370.0,-7.16,-2.43,-0.965,60129.73972,164.4036336873808,7169.616447202738,7.679445032031937,2305610.888111725,,,,,,,-316000.0,211000.0,121000.0
21.23648055,-3670.0,4520.0,4300.0,-6.93,-2.73,-1.24,60129.73972,172.0260824408983,7238.045316243883,7.622448753517467,2262222.223354061,,,,,,,-316000.0,211000.0,121000.0
22.23648055,-4080.0,4350.0,4220.0,-6.69,-3.0,-1.51,60129.73972,179.576936697206,7305.977005165018,7.550854256307693,2220349.075842403,,,,,,,-316000.0,211000.0,121000.0
23.23648055,-4470.0,4160.0,4120.0,-6.43,-3.26,-1.76,60129.73972,187.062669794238,7366.199834378646,7.48573309703198,2184192.277053314,,,,,,,-316000.0,211000.0,121000.0
24.23648055,-4850.0,3960.0,4010.0,-6.16,-3.5,-2.0,60129.73972,194.483592917408,7435.334558713548,7.420923123170055,2143763.294502991,,,,,,,-316000.0,211000.0,121000.0
25.23648055,-5210.0,3740.0,3880.0,-5.87,-3.72,-2.23,60129.73972,201.8453590098616,7495.738789472322,7.361766092453631,2109351.57852143,,,,,,,-316000.0,211000.0,121000.0
26.23648055,-5550.0,3510.0,3740.0,-5.57,-3.93,-2.44,60129.73972,209.14386570644,7557.12908451351,7.298506696578418,2075220.166029226,,,,,,,-316000.0,211000.0,121000.0
27.23648055,-5880.0,3270.0,3590.0,-5.26,-4.11,-2.64,60129.73972,216.3842662478466,7625.968790914371,7.240400541406532,2037923.197604388,,,,,,,-316000.0,211000.0,121000.0
28.23648055,-6180.0,3020.0,3420.0,-4.93,-4.28,-2.83,60129.73972,223.5626574325063,7681.7445935152,7.178391184659693,2008436.628965697,,,,,,,-316000.0,211000.0,121000.0
29.23648055,-6470.0,2760.0,3250.0,-4.6,-4.43,-3.01,60129.73972,230.6782881143222,7748.612779072136,7.115630681815913,1973921.798870139,,,,,,,-316000.0,211000.0,121000.0
30.23648055,-6730.0,2490.0,3060.0,-4.27,-4.56,-3.17,60129.73972,237.7383872637676,7801.064029989755,7.060099149445423,1947467.303890833,,,,,,,-316000.0,211000.0,121000.0
31.23648055,-6980.0,2210.0,2870.0,-3.93,-4.68,-3.31,60129.73972,244.7437709077945,7863.930315052391,7.005383644026928,1916454.652157974,,,,,,,-316000.0,211000.0,121000.0
32.23648055,-7210.0,1930.0,2660.0,-3.58,-4.78,-3.45,60129.73972,251.6938356556944,7923.67339054305,6.950064747899835,1887664.152132247,,,,,,,-316000.0,211000.0,121000.0
33.23648055,-7410.0,1640.0,2450.0,-3.23,-4.86,-3.57,60129.73972,258.5907407587098,7974.973354187461,6.89690510301541,1863457.013122004,,,,,,,-317000.0,211000.0,121000.0
34.23648055,-7590.0,1340.0,2230.0,-2.88,-4.93,-3.68,60129.73972,265.4316032774277,8023.502975633523,6.840862518717944,1840983.1946074,,,,,,,-317000.0,211000.0,121000.0
35.23648055,-7760.0,1040.0,2010.0,-2.53,-4.99,-3.78,60129.73972,272.2243714907557,8083.27285200741,6.792768213328054,1813858.408736583,,,,,,,-317000.0,211000.0,121000.0
36.23648055,-7900.0,744.0,1780.0,-2.18,-5.03,-3.86,60129.73972,278.9763637893295,8132.154450082709,6.751992298573807,1792118.088391691,,,,,,,-317000.0,210000.0,121000.0
37.23648055,-8020.0,441.0,1550.0,-1.83,-5.06,-3.94,60129.73972,285.6810561760092,8180.304456436814,6.704692386679645,1771083.04232592,,,,,,,-317000.0,210000.0,121000.0
38.23648055,-8120.0,137.0,1310.0,-1.48,-5.07,-4.0,60129.73972,292.3500965867429,8226.133295783628,6.669040410733766,1751404.152540237,,,,,,,-317000.0,210000.0,121000.0
39.23648055,-8190.0,-167.0,1070.0,-1.13,-5.07,-4.05,60129.73972,298.9754494075367,8261.28857987663,6.625352820793773,1736529.934222987,,,,,,,-317000.0,210000.0,121000.0
40.23648055,-8250.0,-471.0,823.0,-0.782,-5.05,-4.09,60129.73972,305.5621253521995,8304.31634753879,6.586675944662831,1718581.332586092,,,,,,,-317000.0,210000.0,121000.0
